transaction_id,customer_id,product_name,category,quantity,price,total_amount,sale_date,salesperson,region,discount_percent,payment_method,status
TXN_000052,CUST_00498,Laptop,Peripherals,1,997.92,997.92,2021-08-05,Eve Wilson,East,,Cash,Refunded
TXN_000053,CUST_00518,Keyboard,Accessories,1,1167.25,1167.25,2020-12-14,David Brown,East,7.0,PayPal,Cancelled
TXN_000054,CUST_01164,Smartphone,Networking,5,1163.68,5818.400000000001,2022-11-21,Bob Smith,Central,,PayPal,Refunded
TXN_000055,CUST_00746,Printer,Accessories,4,-100.0,-400.0,2021-11-06,David Brown,North,15.8,Debit Card,Cancelled
TXN_000056,CUST_00080,Webcam,Computers,8,204.74,1637.92,2023-11-07,David Brown,South,0.8,Credit Card,Refunded
TXN_000057,CUST_01041,Printer,Computers,3,402.77,1208.31,2023-12-28, Eve Wilson ,South,17.6,Cash,Pending
TXN_000058,CUST_01136,Mouse,Electronics,4,1999.36,7997.44,2020-10-10,David Brown,South,20.1,Cash,Completed
TXN_000059,CUST_00584,Router,Networking,10,384.87,3848.7,2020-09-19,Bob Smith,East,18.4,Credit Card,Pending
TXN_000060,CUST_00732,Mouse,Accessories,8,0.0,0.0,2020-10-31,alice johnson,East,12.5,Cash,Cancelled
TXN_000061,CUST_00739,Router,Accessories,7,328.63,2300.41,2023-02-02,Eve Wilson,North,,Debit Card,Refunded
TXN_000062,CUST_00030,Monitor,Accessories,7,316.1,2212.7000000000003,2020-11-02,Eve Wilson,North,8.9,PayPal,Cancelled
TXN_000063,CUST_00509,Laptop,Accessories,6,686.82,4120.92,2021-11-12,Alice Johnson,East,15.0,PayPal,Cancelled
TXN_000064,CUST_00444,Headphones,Computers,4,1205.21,4820.84,2021-06-22,david brown,South,11.3,Debit Card,Refunded
TXN_000065,CUST_01153,Laptop,Computers,0,1132.83,0.0,2022-02-06,Carol Davis,West,,Credit Card,Refunded
TXN_000066,CUST_00947,Laptop,Electronics,1000,86.96,86960.0,2021-02-28,Eve Wilson,Central,13.1,PayPal,Pending
TXN_000067,CUST_00235,Monitor,Computers,9,1374.88,12373.920000000002,2023-11-06,Bob Smith,North,,Debit Card,Refunded
TXN_000068,CUST_00301,Smartphone,Electronics,4,179.23,716.92,2020-12-20,david brown,Central,4.4,Debit Card,Refunded
TXN_000069,CUST_00911,Keyboard,Computers,1,1244.68,1244.68,2021-10-25,David Brown,West,,Bank Transfer,Pending
TXN_000070,CUST_00128,Monitor,Computers,9,1497.11,13473.99,2020-02-22,Alice Johnson,Central,27.0,Cash,Refunded
TXN_000071,CUST_00859,Mouse,Peripherals,3,548.8,1646.3999999999999,2022-04-16,Alice Johnson,North,26.6,Cash,Refunded
TXN_000072,CUST_00319,Keyboard,Accessories,8,1104.72,8837.76,2023-11-24,Carol Davis,Central,13.2,Bank Transfer,Cancelled
TXN_000073,CUST_00854,Mouse,Networking,1,0.0,0.0,2020-10-18,Eve Wilson,South,4.7,Bank Transfer,Completed
TXN_000074,CUST_00280,Printer,Computers,2,1514.22,3028.44,2021-06-10, Alice Johnson ,South,,Credit Card,Refunded
TXN_000075,CUST_00069,Mouse,Networking,7,31.04,217.28,2021-02-16,Alice Johnson,West,30.0,Bank Transfer,Cancelled
TXN_000076,CUST_00132,Tablet,Networking,4,1761.43,7045.72,2021-06-21,Bob Smith,East,8.1,PayPal,Completed
TXN_000077,CUST_00174,Router,Peripherals,10,530.77,5307.7,2020-02-10,Eve Wilson,North,20.8,PayPal,Refunded
TXN_000078,CUST_00211,Mouse,Computers,8,1451.82,11614.56,2020-04-22,David Brown,South,29.3,Bank Transfer,Cancelled
TXN_000079,CUST_00907,Router,Networking,3,594.4,1783.1999999999998,2020-06-19,Alice Johnson,North,,Bank Transfer,Completed
TXN_000080,CUST_00105,Webcam,Electronics,8,730.62,5844.96,2020-12-27,Alice Johnson,East,4.9,Debit Card,Pending
TXN_000081,CUST_00068,Smartphone,Electronics,0,1772.53,0.0,2022-01-16,Eve Wilson,West,19.6,Cash,Pending
TXN_000082,CUST_00865,Mouse,Peripherals,8,516.27,4130.16,2020-12-08,Carol Davis,Central,,Cash,Pending
TXN_000083,CUST_00116,Keyboard,Electronics,2,1440.41,2880.82,2022-06-21,carol davis,East,26.9,Debit Card,Pending
TXN_000084,CUST_00940,Router,Computers,7,796.98,5578.860000000001,2023-03-20,Eve Wilson,West,,Credit Card,Cancelled
TXN_000085,CUST_00704,Webcam,Electronics,8,1318.03,10544.24,2022-01-13,Eve Wilson,Central,8.3,Bank Transfer,Completed
TXN_000086,CUST_01056,Laptop,Computers,-1,350.12,-350.12,2020-04-02,Carol Davis,North,17.3,PayPal,Pending
TXN_000087,CUST_00375,Keyboard,Accessories,6,888.33,5329.9800000000005,2023-04-25,alice johnson,North,,Bank Transfer,Cancelled
TXN_000088,CUST_00146,Printer,Accessories,7,1223.28,8562.96,2023-09-30,Carol Davis,North,24.8,PayPal,Completed
TXN_000089,CUST_01025,Headphones,Electronics,8,405.13,3241.04,2021-07-17,eve wilson,South,25.8,Cash,Pending
TXN_000090,CUST_00709,Router,Networking,3,1704.61,5113.83,2021-08-30,Eve Wilson,Central,,PayPal,Completed
TXN_000091,CUST_00289,Smartphone,Accessories,5,1084.27,5421.35,2022-07-04,Carol Davis,Central,13.7,Credit Card,Refunded
TXN_000092,CUST_01122,Keyboard,Networking,0,865.26,0.0,2022-07-27,Bob Smith,East,4.3,Debit Card,Refunded
TXN_000093,CUST_00914,Monitor,Peripherals,1000,915.44,915440.0,2023-01-14,Eve Wilson,East,15.4,PayPal,Cancelled
TXN_000094,CUST_00142,Headphones,Accessories,10,0.0,0.0,2023-04-05,Bob Smith,North,28.9,PayPal,Pending
TXN_000095,CUST_00930,Mouse,Electronics,1000,759.99,759990.0,2021-05-25,Eve Wilson,East,,Bank Transfer,Cancelled
TXN_000096,CUST_00604,Webcam,Peripherals,6,1843.03,11058.18,2020-05-23,Carol Davis,South,,Debit Card,Completed
TXN_000097,CUST_00954,Laptop,Networking,5,1734.11,8670.55,2021-04-20,Alice Johnson,South,27.7,Debit Card,Pending
TXN_000098,CUST_00109,Headphones,Networking,0,1828.04,0.0,2022-10-04,Alice Johnson,South,13.7,Cash,Refunded
TXN_000099,CUST_00386,Smartphone,Electronics,2,1400.07,2800.14,2022-10-03,Eve Wilson,West,23.9,PayPal,Refunded
TXN_000100,CUST_00159,Mouse,Accessories,9,808.67,7278.03,2021-04-19,Carol Davis,East,27.9,Debit Card,Pending
TXN_000101,CUST_00694,Tablet,Electronics,1000,1085.19,1085190.0,2022-06-05,eve wilson,Central,17.7,Bank Transfer,Cancelled
TXN_000102,CUST_00360,Printer,Peripherals,9,-100.0,-900.0,2020-03-14,Carol Davis,South,,Debit Card,Refunded
TXN_000103,CUST_00187,Tablet,Computers,1,870.86,870.86,2022-02-20,Eve Wilson,West,,PayPal,Refunded
TXN_000104,CUST_00279,Monitor,Peripherals,6,296.61,1779.66,2022-08-05,David Brown,South,29.8,PayPal,Refunded
TXN_000105,CUST_01150,Headphones,Accessories,2,0.0,0.0,2022-04-12,Bob Smith,South,19.0,Cash,Refunded
TXN_000106,CUST_00498,Mouse,Networking,3,1704.23,5112.6900000000005,2022-07-16,David Brown,North,6.4,Bank Transfer,Cancelled
TXN_000107,CUST_01197,Webcam,Computers,3,449.05,1347.15,2023-07-26,Bob Smith,West,,Credit Card,Cancelled
TXN_000108,CUST_00335,Keyboard,Electronics,3,682.12,2046.3600000000001,2022-04-20,Eve Wilson,South,,PayPal,Refunded
TXN_000109,CUST_00080,Keyboard,Electronics,8,50000.0,400000.0,2020-05-21,Carol Davis,East,19.3,Debit Card,Refunded
TXN_000110,CUST_00704,Monitor,Peripherals,5,1855.59,9277.949999999999,2021-06-25,David Brown,South,,Bank Transfer,Completed
TXN_000111,CUST_00334,Keyboard,Peripherals,6,1836.86,11021.16,2022-06-15,alice johnson,South,18.4,Cash,Cancelled
TXN_000112,CUST_00327,Monitor,Accessories,7,1114.77,7803.389999999999,2021-10-23,bob smith,North,28.7,Bank Transfer,Completed
TXN_000113,CUST_00241,Headphones,Peripherals,7,455.45,3188.15,2021-12-29,David Brown,Central,,Credit Card,Completed
TXN_000114,CUST_01108,Laptop,Electronics,4,567.61,2270.44,2021-02-08, Carol Davis ,West,15.3,PayPal,Completed
TXN_000115,CUST_00653,Monitor,Accessories,10,1396.71,13967.1,2023-04-05,Carol Davis,Central,17.1,Cash,Completed
TXN_000116,CUST_00702,Mouse,Computers,7,1423.05,9961.35,2020-06-18,David Brown,East,,Bank Transfer,Pending
TXN_000117,CUST_00707,Tablet,Accessories,6,1866.73,11200.380000000001,2022-07-17,Eve Wilson,North,9.4,Credit Card,Pending
TXN_000118,CUST_00190,Keyboard,Accessories,5,129.48,647.4,2021-02-22,Alice Johnson,West,23.0,Cash,Refunded
TXN_000119,CUST_00415,Laptop,Peripherals,9,1902.63,17123.670000000002,2021-01-21,Carol Davis,North,,Cash,Cancelled
TXN_000120,CUST_00020,Tablet,Peripherals,7,1291.53,9040.71,2020-02-15,Eve Wilson,North,,Credit Card,Cancelled
TXN_000121,CUST_00338,Mouse,Networking,10,1417.73,14177.3,2021-08-01,David Brown,South,,Debit Card,Pending
TXN_000122,CUST_00666,Keyboard,Networking,9,0.0,0.0,2020-08-21,Bob Smith,South,15.1,Cash,Refunded
TXN_000123,CUST_00141,Headphones,Computers,10,360.04,3600.4,2022-08-03,David Brown,West,24.6,Credit Card,Completed
TXN_000124,CUST_00309,Laptop,Computers,4,1987.92,7951.68,2020-03-21,Alice Johnson,Central,18.5,Bank Transfer,Completed
TXN_000125,CUST_01139,Printer,Peripherals,10,830.22,8302.2,2022-01-08,Bob Smith,North,26.1,Credit Card,Pending
TXN_000126,CUST_00144,Headphones,Computers,9,1395.42,12558.78,2020-07-11,David Brown,West,,PayPal,Refunded
TXN_000127,CUST_00111,Keyboard,Electronics,0,1313.84,0.0,2023-11-15,Eve Wilson,North,,PayPal,Cancelled
TXN_000128,CUST_00074,Mouse,Electronics,4,55.62,222.48,2021-05-24,Carol Davis,East,28.7,Credit Card,Cancelled
TXN_000129,CUST_01064,Webcam,Networking,8,1504.75,12038.0,2020-11-10,Carol Davis,South,24.8,Debit Card,Completed
TXN_000130,CUST_00808,Laptop,Computers,9,194.72,1752.48,2023-10-07,Alice Johnson,West,,Credit Card,Pending
TXN_000131,CUST_01175,Router,Networking,4,803.89,3215.56,2022-08-03,alice johnson,East,17.9,PayPal,Refunded
TXN_000132,CUST_00503,Tablet,Computers,8,991.37,7930.96,2023-10-27, Carol Davis ,North,26.0,Credit Card,Cancelled
TXN_000133,CUST_00100,Printer,Networking,3,438.83,1316.49,2020-03-03,David Brown,West,26.5,Bank Transfer,Pending
TXN_000134,CUST_00351,Headphones,Networking,1,990.85,990.85,2020-10-18,Eve Wilson,Central,,Debit Card,Cancelled
TXN_000135,CUST_01128,Mouse,Accessories,2,1540.9,3081.8,2023-03-25,David Brown,East,5.0,Debit Card,Refunded
TXN_000136,CUST_01016,Printer,Peripherals,1000,398.95,398950.0,2023-02-26,Bob Smith,North,20.8,PayPal,Cancelled
TXN_000137,CUST_00900,Mouse,Peripherals,7,554.21,3879.4700000000003,2022-06-01,David Brown,West,23.0,Debit Card,Completed
TXN_000138,CUST_00820,Headphones,Electronics,6,1154.42,6926.52,2022-09-11,david brown,Central,15.4,Credit Card,Cancelled
TXN_000139,CUST_00519,Smartphone,Accessories,9,630.1,5670.900000000001,2021-03-14,David Brown,Central,3.1,PayPal,Completed
TXN_000140,CUST_00407,Monitor,Electronics,10,1499.55,14995.5,2020-02-15,Carol Davis,East,10.5,Cash,Pending
TXN_000141,CUST_00816,Printer,Computers,5,0.0,0.0,2022-10-20,david brown,North,26.3,Cash,Cancelled
TXN_000142,CUST_00576,Mouse,Peripherals,7,67.04,469.28000000000003,2021-04-17,Alice Johnson,West,4.1,PayPal,Pending
TXN_000143,CUST_00452,Printer,Networking,8,50000.0,400000.0,2020-09-14,Alice Johnson,West,,Debit Card,Refunded
TXN_000144,CUST_01087,Headphones,Peripherals,1,-100.0,-100.0,2023-10-22,david brown,South,23.4,Bank Transfer,Completed
TXN_000145,CUST_00833,Mouse,Electronics,2,1609.02,3218.04,2021-06-15,Alice Johnson,East,5.7,PayPal,Refunded
TXN_000146,CUST_00070,Laptop,Networking,8,-100.0,-800.0,2023-12-30,Eve Wilson,East,,Bank Transfer,Cancelled
TXN_000147,CUST_00523,Keyboard,Peripherals,7,594.43,4161.009999999999,2020-06-22,David Brown,East,,Debit Card,Refunded
TXN_000148,CUST_00703,Tablet,Peripherals,1,1934.02,1934.02,2020-05-16,David Brown,Central,8.5,Cash,Pending
TXN_000149,CUST_00480,Mouse,Electronics,4,1648.39,6593.56,2022-05-15,Carol Davis,West,,Credit Card,Completed
TXN_000150,CUST_00186,Webcam,Electronics,2,1427.08,2854.16,2021-08-04,Carol Davis,South,8.1,Bank Transfer,Cancelled
TXN_000151,CUST_01146,Keyboard,Electronics,5,1414.17,7070.85,2023-07-28,Bob Smith,South,,Bank Transfer,Pending
TXN_000152,CUST_00437,Webcam,Computers,8,1720.3,13762.4,2023-09-10,David Brown,South,4.2,Cash,Refunded
TXN_000153,CUST_00561,Webcam,Networking,2,1125.13,2250.26,2020-05-12,Eve Wilson,North,15.7,Bank Transfer,Cancelled
TXN_000154,CUST_00150,Laptop,Networking,2,838.88,1677.76,2020-06-04,Carol Davis,West,,Credit Card,Completed
TXN_000155,CUST_01194,Printer,Computers,10,1602.49,16024.9,2020-12-19,Carol Davis,Central,,Cash,Pending
TXN_000156,CUST_00494,Webcam,Networking,1000,1942.86,1942860.0,2022-10-11,david brown,Central,,Debit Card,Cancelled
TXN_000157,CUST_00497,Tablet,Accessories,0,1303.1,0.0,2023-02-10,Alice Johnson,South,17.2,Bank Transfer,Completed
TXN_000158,CUST_00838,Monitor,Networking,3,727.57,2182.71,2021-02-20,Eve Wilson,East,12.3,PayPal,Pending
TXN_000159,CUST_00223,Laptop,Electronics,8,1516.46,12131.68,2023-04-30,Alice Johnson,West,1.8,Bank Transfer,Refunded
TXN_000160,CUST_00891,Router,Computers,8,1591.01,12728.08,2023-12-17,Alice Johnson,Central,15.1,Bank Transfer,Pending
TXN_000161,CUST_00892,Webcam,Accessories,7,0.0,0.0,2023-06-14,David Brown,East,8.1,Cash,Refunded
TXN_000162,CUST_00649,Webcam,Computers,7,559.59,3917.13,2023-05-09,Eve Wilson,Central,14.3,Cash,Completed
TXN_000163,CUST_00083,Headphones,Accessories,3,131.41,394.23,2022-06-14,Bob Smith,South,3.8,PayPal,Cancelled
TXN_000164,CUST_00708,Tablet,Accessories,0,1227.46,0.0,2020-03-08,David Brown,North,,Debit Card,Cancelled
TXN_000165,CUST_00178,Monitor,Peripherals,3,805.43,2416.29,2022-09-07,Carol Davis,Central,22.8,Bank Transfer,Completed
TXN_000166,CUST_00127,Mouse,Computers,7,425.64,2979.48,2020-10-05,David Brown,East,16.0,Cash,Refunded
TXN_000167,CUST_00327,Printer,Computers,4,361.66,1446.64,2021-11-21, Eve Wilson ,South,,Credit Card,Completed
TXN_000168,CUST_01113,Router,Accessories,4,1793.27,7173.08,2021-02-22,david brown,South,,Debit Card,Completed
TXN_000169,CUST_01101,Printer,Computers,6,1534.43,9206.58,2020-06-17,Bob Smith,Central,0.4,PayPal,Pending
TXN_000170,CUST_00901,Smartphone,Peripherals,6,1377.3,8263.8,2020-08-20,David Brown,West,26.8,PayPal,Cancelled
TXN_000171,CUST_00757,Mouse,Accessories,3,984.04,2952.12,2023-11-27,Eve Wilson,South,0.9,Debit Card,Pending
TXN_000172,CUST_00923,Headphones,Peripherals,9,416.31,3746.79,2020-09-28,Eve Wilson,Central,18.1,Bank Transfer,Refunded
TXN_000173,CUST_01061,Headphones,Computers,6,338.31,2029.8600000000001,2023-05-01,Eve Wilson,West,,Cash,Completed
TXN_000174,CUST_00062,Tablet,Accessories,7,1823.9,12767.300000000001,2023-08-22,Eve Wilson,North,13.7,Cash,Refunded
TXN_000175,CUST_00856,Webcam,Electronics,10,1068.47,10684.7,2021-05-20,Bob Smith,Central,21.9,Debit Card,Cancelled
TXN_000176,CUST_00380,Keyboard,Computers,7,215.3,1507.1000000000001,2021-12-22,Eve Wilson,West,17.2,PayPal,Pending
TXN_000177,CUST_00527,Router,Accessories,-1,1117.1,-1117.1,2021-12-13,Carol Davis,East,19.9,Cash,Pending
TXN_000178,CUST_00153,Webcam,Electronics,4,307.74,1230.96,2020-07-05,Alice Johnson,West,,PayPal,Refunded
TXN_000179,CUST_00454,Tablet,Accessories,8,1411.91,11295.28,2021-01-15,Bob Smith,Central,16.9,Bank Transfer,Completed
TXN_000180,CUST_00873,Monitor,Electronics,10,1210.38,12103.800000000001,2021-09-11,Eve Wilson,North,,Debit Card,Pending
TXN_000181,CUST_00847,Keyboard,Accessories,-1,1119.66,-1119.66,2023-03-15,Bob Smith,Central,28.2,Credit Card,Refunded
TXN_000182,CUST_00883,Laptop,Peripherals,10,202.49,2024.9,2022-04-29,Carol Davis,East,16.8,Credit Card,Cancelled
TXN_000183,CUST_00717,Webcam,Computers,7,1153.55,8074.849999999999,2021-09-06,Carol Davis,South,23.0,Credit Card,Cancelled
TXN_000184,CUST_00268,Printer,Peripherals,6,696.09,4176.54,2020-06-28,Eve Wilson,East,,PayPal,Completed
TXN_000185,CUST_01083,Printer,Peripherals,8,1632.42,13059.36,2021-12-27,Alice Johnson,East,15.1,PayPal,Pending
TXN_000186,CUST_00663,Laptop,Computers,9,1293.4,11640.6,2023-10-10,David Brown,South,6.7,Debit Card,Cancelled
TXN_000187,CUST_00515,Printer,Networking,3,0.0,0.0,2020-07-28,Carol Davis,Central,0.2,Bank Transfer,Completed
TXN_000188,CUST_00430,Mouse,Accessories,5,11.38,56.900000000000006,2021-09-05,Eve Wilson,West,8.3,PayPal,Completed
TXN_000189,CUST_00168,Monitor,Electronics,2,98.12,196.24,2021-05-01,Eve Wilson,East,,Bank Transfer,Refunded
TXN_000190,CUST_01030,Smartphone,Peripherals,0,1658.81,0.0,2020-09-08,Carol Davis,South,25.4,PayPal,Refunded
TXN_000191,CUST_00003,Smartphone,Computers,6,1535.18,9211.08,2020-02-23,Bob Smith,West,15.6,Credit Card,Completed
TXN_000192,CUST_00141,Tablet,Accessories,8,1088.53,8708.24,2022-02-06,eve wilson,North,18.2,Bank Transfer,Completed
TXN_000193,CUST_00389,Monitor,Accessories,6,1155.42,6932.52,2023-10-07,Eve Wilson,West,2.4,PayPal,Refunded
TXN_000194,CUST_00158,Webcam,Electronics,5,303.73,1518.65,2021-02-21,Bob Smith,Central,,Cash,Completed
TXN_000195,CUST_01005,Smartphone,Peripherals,3,0.0,0.0,2021-03-01,bob smith,Central,28.9,Credit Card,Cancelled
TXN_000196,CUST_00085,Laptop,Computers,2,-100.0,-200.0,2022-10-12,Carol Davis,South,,Cash,Completed
TXN_000197,CUST_00796,Monitor,Electronics,3,50000.0,150000.0,2020-09-25,Alice Johnson,West,24.9,Credit Card,Refunded
TXN_000198,CUST_00652,Webcam,Electronics,2,105.65,211.3,2023-08-10,Alice Johnson,South,,Debit Card,Pending
TXN_000199,CUST_00401,Laptop,Computers,10,1020.86,10208.6,2022-10-11,Eve Wilson,West,,Debit Card,Completed
TXN_000200,CUST_00583,Mouse,Peripherals,9,1992.92,17936.28,2020-08-03,Alice Johnson,North,12.1,Bank Transfer,Completed
TXN_000201,CUST_00591,Mouse,Electronics,2,1511.52,3023.04,2021-03-20,david brown,East,,Bank Transfer,Completed
TXN_000202,CUST_00519,Keyboard,Networking,9,1386.67,12480.03,2022-10-20,Alice Johnson,Central,,Cash,Refunded
TXN_000203,CUST_01155,Mouse,Accessories,6,813.84,4883.04,2023-04-24,Carol Davis,North,4.0,PayPal,Cancelled
TXN_000204,CUST_00698,Monitor,Networking,4,1278.98,5115.92,2021-12-14,Eve Wilson,South,8.2,Cash,Pending
TXN_000205,CUST_00033,Keyboard,Peripherals,8,0.0,0.0,2021-10-09,Bob Smith,East,22.6,Bank Transfer,Completed
TXN_000206,CUST_00708,Headphones,Electronics,5,1053.63,5268.150000000001,2023-07-14,David Brown,West,,Cash,Completed
TXN_000207,CUST_00276,Monitor,Computers,8,0.0,0.0,2020-09-04,David Brown,Central,0.2,Debit Card,Cancelled
TXN_000208,CUST_01070,Tablet,Accessories,7,1193.05,8351.35,2023-07-16, David Brown ,West,4.7,PayPal,Refunded
TXN_000209,CUST_00605,Laptop,Computers,6,999.51,5997.0599999999995,2020-09-27,bob smith,East,5.4,Debit Card,Cancelled
TXN_000210,CUST_00311,Mouse,Networking,1,1492.8,1492.8,2022-12-06,Eve Wilson,North,3.2,Credit Card,Cancelled
TXN_000211,CUST_00308,Laptop,Accessories,0,1537.41,0.0,2021-01-20,Alice Johnson,West,18.4,Bank Transfer,Pending
TXN_000212,CUST_00591,Tablet,Computers,2,179.54,359.08,2020-10-27,Eve Wilson,South,,Cash,Completed
